Date,Value,Anomaly
194808,90.2,2.5
194908,88,0.3
195008,84.4,-3.3
195108,89,1.3
195208,90.3,2.6
195308,91.5,3.8
195408,89,1.3
195508,92.3,4.6
195608,86.9,-0.8
195708,88.5,0.8
195808,87.1,-0.6
195908,90.8,3.1
196008,88.1,0.4
196108,86.7,-1
196208,89.8,2.1
196308,85.4,-2.3
196408,89,1.3
196508,87,-0.7
196608,86.7,-1
196708,83.4,-4.3
196808,88.4,0.7
196908,86.4,-1.3
197008,86.5,-1.2
197108,84.9,-2.8
197208,86.8,-0.9
197308,87.3,-0.4
197408,84.5,-3.2
197508,88.1,0.4
197608,84.4,-3.3
197708,86.6,-1.1
197808,86.1,-1.6
197908,84.7,-3
198008,90.4,2.7
198108,86.8,-0.9
198208,83.7,-4
198308,93.9,6.2
198408,86.4,-1.3
198508,84.5,-3.2
198608,85.5,-2.2
198708,89.9,2.2
198808,91.4,3.7
198908,86.4,-1.3
199008,88.2,0.5
199108,90,2.3
199208,82.7,-5
199308,89.3,1.6
199408,87.6,-0.1
199508,92.4,4.7
199608,87.2,-0.5
199708,84.8,-2.9
199808,88.6,0.9
199908,90.8,3.1
200008,87,-0.7
200108,88.6,0.9
200208,92,4.3
200308,87.5,-0.2
200408,83.9,-3.8
200508,91,3.3
200608,88.4,0.7
200708,96.1,8.4
200808,89.1,1.4
200908,84.4,-3.3
201008,92.8,5.1
201108,89.5,1.8
201208,89.2,1.5
201308,86.9,-0.8
201408,87.2,-0.5
201508,85.5,-2.2
201608,89.2,1.5
201708,86.5,-1.2
201808,87.4,-0.3
201908,89.8,2.1
202008,86.6,-1.3
